,item_name,item_description,item_price,item_image
60,Caramel Latte,"coffee, milk & caramel syrup",0.0,https://images.deliveryhero.io/image/talabat/Menuitems/785048AF2BE10C83C6DFEF0824AB77BC?width=172&amp;height=172
61,Hot Chocolate,milk and chocolate + whipped cream,0.0,https://images.deliveryhero.io/image/talabat/Menuitems/52D04CDE7753E0F241B7827E967B53E4?width=172&amp;height=172
62,Hot Mocha,"milk, espresso & chocolate + cream",0.0,https://images.deliveryhero.io/image/talabat/Menuitems/05E2269E5042A2105AF0A45C7CB0B4AD?width=172&amp;height=172
63,White Choco Mocha,"white chocolate syrup, espresso & milk",0.0,https://images.deliveryhero.io/image/talabat/Menuitems/003AA70F66B55960EE28E39E10BFDCBE?width=172&amp;height=172
64,Vanilla Latte,"espresso, milk & vanilla syrup",0.0,https://images.deliveryhero.io/image/talabat/Menuitems/422FD0B269344965821BD1E03D03A90A?width=172&amp;height=172
65,Raspberry Mocha Kiss,"raspberry syrup, chocolate, milk & whipped cream",0.0,https://images.deliveryhero.io/image/talabat/Menuitems/ED863640D73C2E70EB0CCB6FC339E95B?width=172&amp;height=172
66,Almond Mocha,"espresso shot, chocolate & almond milk",0.0,https://images.deliveryhero.io/image/talabat/Menuitems/3BDF1D8E0101E0188718D954C476542A?width=172&amp;height=172
67,English Breakfast Tea,,0.0,https://images.deliveryhero.io/image/talabat/Menuitems/5F57A28B707311A0FF30F845CA6175C3?width=172&amp;height=172
68,Pure Green Tea,,0.0,https://images.deliveryhero.io/image/talabat/Menuitems/DF2CA0F6E43C9B1245E505C246A1F94A?width=172&amp;height=172
69,Earl Grey Tea,,0.0,https://images.deliveryhero.io/image/talabat/Menuitems/D1F0C4DCC475C8C0B44F19ACD47FAC32?width=172&amp;height=172
70,Green tea with Mint,,0.0,https://images.deliveryhero.io/image/talabat/Menuitems/BBC7F673625C009412A2E3055624E565?width=172&amp;height=172
71,Chamomile Tea,,0.0,https://images.deliveryhero.io/image/talabat/Menuitems/3D25DAF26965BA8573725DF08B6A9F14?width=172&amp;height=172
72,Lemon & Ginger Tea,,0.0,https://images.deliveryhero.io/image/talabat/Menuitems/857D0A6454C66058BE689C0609B2659C?width=172&amp;height=172
73,Single Bonbites Combo,1 pack of bonbites (5pieces) + 1 drink (hot or cold),25.0,https://images.deliveryhero.io/image/talabat/Menuitems/7EE1DB96D977E0118F34590F88B357A1?width=172&amp;height=172
74,Single Cinnabon Stix Combo,1 pack of stix + 1 drink (hot or cold),25.0,https://images.deliveryhero.io/image/talabat/Menuitems/880840D1C40120B2A905F3F9986DE9BB?width=172&amp;height=172
75,Single Mini Combo,1 mini roll + 1 drink (hot or cold),23.0,https://images.deliveryhero.io/image/talabat/Menuitems/191793935ECF71F93819F1A179FFF8C7?width=172&amp;height=172
76,Single Classic Combo,1 classic roll + 1 drink (hot or cold),28.0,https://images.deliveryhero.io/image/talabat/Menuitems/63725784B5D8FE474F68BA2178BC660B?width=172&amp;height=172
77,Double Bonbites Combo,any 2 (5pieces) bonbites + 2 drinks (hot or cold),48.0,https://images.deliveryhero.io/image/talabat/Menuitems/7F36BBC4C23172C92610008D72753DCC?width=172&amp;height=172
78,Double Cinnabon Stix Combo,2 packs of stix + 2 drinks (hot or cold),48.0,https://images.deliveryhero.io/image/talabat/Menuitems/7B091A69F62C25DC58D90579F4E73228?width=172&amp;height=172
79,Double Mini Combo,2 mini rolls + 2 drinks (hot or cold),44.0,https://images.deliveryhero.io/image/talabat/Menuitems/C91A413DAC0E4BACF6113F788FBE3CBC?width=172&amp;height=172
80,Double Classic Combo,2 classic rolls + 2 drinks (hot or cold),52.0,https://images.deliveryhero.io/image/talabat/Menuitems/584D56FC6A003A71299BF11E51D39361?width=172&amp;height=172
81,Cream Cheese Frosting,,4.0,https://images.deliveryhero.io/image/talabat/Menuitems/7B0652358B2C1A5C4E6CCA1E7D4C8D5E?width=172&amp;height=172
82,Chocolate Frosting,chocolate sauce,4.0,https://images.deliveryhero.io/image/talabat/Menuitems/B6A722DD094E0B949E4E29D43799FB4D?width=172&amp;height=172
83,Caramel Frosting,caramel sauce,4.0,https://images.deliveryhero.io/image/talabat/Menuitems/2BE137502C8DC095C5FA8C7BA197CCD1?width=172&amp;height=172
84,Hazelnut Frosting,,6.0,https://images.deliveryhero.io/image/talabat/Menuitems/696B747C242703A913B3CF26FEF54F25?width=172&amp;height=172
85,Extra Pecan Nuts,,6.0,https://images.deliveryhero.io/image/talabat/Menuitems/C59C668230FC9C78ABBE1A005AA5205B?width=172&amp;height=172
86,Classic Tray (9 pieces),9 pieces of classic rolls,115.0,https://images.deliveryhero.io/image/talabat/Menuitems/C5E0C05B95C36F73F4642E1FD1721EEA?width=172&amp;height=172
87,Mini Tray (20 pieces),20 pieces of mini rolls,205.0,https://images.deliveryhero.io/image/talabat/Menuitems/E01B6D2F3262CDF02AB85B43B4535E4E?width=172&amp;height=172
88,Bonbites Tray (40 pieces),40 pieces of classic bonbites,90.0,https://images.deliveryhero.io/image/talabat/Menuitems/990462A78701D964DB4EA5016F010EB2?width=172&amp;height=172
89,Bonbites & Stix Tray (25 bites + 25 Stix),tray containing 25 bonbites pieces & 25 stix,115.0,https://images.deliveryhero.io/image/talabat/Menuitems/8DF48FBFCACFC02A965BA6D02A69219B?width=172&amp;height=172
90,Americano Pouch (10 of 12 oz),coffee jug serving 10 people americano coffee,95.0,https://images.deliveryhero.io/image/talabat/Menuitems/77A5443614FB873EA04F595EADF8C262?width=172&amp;height=172
91,Mochallata Pouch (10 of 12 oz),coffee jug serving 10 people mochollata coffee,150.0,https://images.deliveryhero.io/image/talabat/Menuitems/DC75319FF7F3F803807D1091173A9E50?width=172&amp;height=172
92,Orange Juice (10 of 12 oz),orange juice jug serving 10 people,145.0,https://images.deliveryhero.io/image/talabat/Menuitems/B4852BFF326A149FA78C327C2E4F4F28?width=172&amp;height=172
