,item_name,item_description,item_price,item_image
35,Buffalo Ranch (30ml),Creamy Buffalo Ranch Dip,4.0,https://images.deliveryhero.io/image/talabat/Menuitems/BC138F4AD77D3D26883104F21586AD41?width=172&amp;height=172
36,Sundried Tomato Marinara (30ml),"Homemade with Italian sundried tomatoes, pine nuts, and classic marinara sauce",5.0,https://images.deliveryhero.io/image/talabat/Menuitems/1F36250682A3EBA77F676DEA17D36543?width=172&amp;height=172
37,Garlic & Herb (30ml),Homemade creamy garlic and herb dip,4.0,https://images.deliveryhero.io/image/talabat/Menuitems/0E9CBF040C076B6382A327EF364C3C4B?width=172&amp;height=172
38,BBQ Honey Mustard (30ml),"A classic combination of smoky BBQ sauce, American mustard and honey",4.0,https://images.deliveryhero.io/image/talabat/Menuitems/E0A350A40A387A54231F9A2F9706F092?width=172&amp;height=172
39,Chipotle Mayo (30ml),"Spicy, tangy and delicious with almost anything!",4.0,https://images.deliveryhero.io/image/talabat/Menuitems/245150B3B674ED226EFEE92245F45F14?width=172&amp;height=172
40,Sweet Chili (30ml),A sweet & (mildly) spicy classic!,3.0,https://images.deliveryhero.io/image/talabat/Menuitems/0D71D2997D6F16287FE5FD27E661B778?width=172&amp;height=172
41,Smoky BBQ (30ml),A smoky classic,3.0,https://images.deliveryhero.io/image/talabat/Menuitems/6C39D8B4B38FD152AA431C1C6391CA57?width=172&amp;height=172
42,Marie Rose (30ml),"A blend of tomato, mayonnaise, Worcestershire sauce, lemon juice and black pepper",4.0,https://images.deliveryhero.io/image/talabat/Menuitems/D53D5CD5547C32EE2304532B5500BFBF?width=172&amp;height=172
43,Ginos Tiramisu,House special - homemade classic creamy Tiramisu (8oz),25.0,https://images.deliveryhero.io/image/talabat/Menuitems/C9E913611591F2D6C56B6BC7F31A9C14?width=172&amp;height=172
44,Chocolate Fudge Brownie,"Homemade chocolate fudge brownies - soft, chewy and delicious!",22.0,https://images.deliveryhero.io/image/talabat/Menuitems/EB6391FBF2D46EBE2FFF2444EDFA0205?width=172&amp;height=172
45,Banana Caramel Pudding,"Gino's homemade pudding with caramelised banana, custard cream, and banana caramel sauce",28.0,https://images.deliveryhero.io/image/talabat/Menuitems/93C317B0C728A7E368503FD2429247C5?width=172&amp;height=172
46,Arwa Water (500ml),,5.0,https://images.deliveryhero.io/image/talabat/Menuitems/D85B72CFF629214D74C2E2F1EF2F25F8?width=172&amp;height=172
47,Coca Cola (250ml),250ml,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/92A8B0D59D65C2C800CA944B57C0AB97?width=172&amp;height=172
48,Coke Zero (250ml),250ml bottle,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/16B1F1D463323F55F91500B778A947EE?width=172&amp;height=172
49,Sprite (250ml),250ml bottle,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/75887FEF7F8145AEF3EC2E9F88304554?width=172&amp;height=172
50,Fanta (250ml),250ml bottle,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/C9481E92D8E070246E39D609B911A737?width=172&amp;height=172
