,item_name,item_description,item_price,item_image
41,Mozzarella Sticks,"Five (5) mozzarella sticks, served with homemade herb marinara sauce",24.0,https://images.deliveryhero.io/image/talabat/Menuitems/27FC590B093D2FF8436E3BE3F7559A55?width=172&amp;height=172
42,Popcorn Chicken,"Fifteen (15) Popcorn chicken bites , served with your choice of dipping sauce",20.0,https://images.deliveryhero.io/image/talabat/Menuitems/3212A5E8EBC75493A95DC18B8E0E85A6?width=172&amp;height=172
43,Chicken Nuggets + Side + Drink,"Chicken Nuggets, Side and a Drink",28.0,https://images.deliveryhero.io/image/talabat/Menuitems/F89D1E4BE387253DA90B54A63837945D?width=172&amp;height=172
44,Six (6) Chicken Nuggets,"Six (6) Nuggets, served with your choice of dipping sauce",18.0,https://images.deliveryhero.io/image/talabat/Menuitems/5F6FC26BF9DDDB3AB4CB76CC2CAEA7A8?width=172&amp;height=172
45,Twelve (12) Chicken Nuggets,"Twelve (12) Nuggets, served with your choice of dipping sauce",26.0,https://images.deliveryhero.io/image/talabat/Menuitems/75C7AD4977C4159C0D7E405D28B27037?width=172&amp;height=172
46,Eight (8) Chicken Wings,Your Choice of 8 Marinated Chicken Wings (Wings and Drumsticks),34.0,https://images.deliveryhero.io/image/talabat/Menuitems/0375084A4367C4BF02C8174CBFCB328D?width=172&amp;height=172
47,Twelve (12) Chicken Wings,Your Choice of 12 Marinated Chicken Wings (Wings and Drumsticks),44.0,https://images.deliveryhero.io/image/talabat/Menuitems/CAADAA6B3177F19192AE9838AFADDA54?width=172&amp;height=172
48,Hamburger + Fries + Juice + Cookie,"Hamburger with Ketchup with a Side of French Fries, Juice and a Cookie",28.0,https://images.deliveryhero.io/image/talabat/Menuitems/DF08A86E83572327A4574903B81EAD53?width=172&amp;height=172
49,Hot Dog + Fries + Juice + Cookie,"Chicken or Beef Hot Dog with a Side of French Fries, Juice and a Cookie",24.0,https://images.deliveryhero.io/image/talabat/Menuitems/E22672CB1FBFC6F1B7A912A0A61751D1?width=172&amp;height=172
50,4 Nuggets + Fries + Juice + Cookie,"4 Chicken Nuggets with a Side of French Fries, Juice and a Cookie",25.6,https://images.deliveryhero.io/image/talabat/Menuitems/6A620F03D61A4CCA876003C3F1E80515?width=172&amp;height=172
